id,canonicalName,displayName,slug,aliases,identityStatus,lifecycleStatus,publicationStatus,officialDomain,officialWebsite,country,headquarters,foundedYear,parentCompany,shortDescriptionEn,categories,families,series,industries,logoAssetPath,sourceRecordIds,checkedAt,contentStatus,seoStatus,seoTitleCore,seoMetaFactual,reviewBlockerCode,reviewBlockerCategory,completenessScore
brook-crompton,Brook Crompton,Brook Crompton,brook-crompton,,CONFIRMED,CURRENT,BRAND_SAFE,brookcrompton.com,https://www.brookcrompton.com/,,,,,Manufacturer-owned sources identify Brook Crompton with electric motors.,electric motors,,,industrial manufacturing,brand-assets/logos/brook-crompton.png,brand-brook-crompton-company | brand-brook-crompton-products,2026-08-12,EN_CONTENT_READY,SEO_CORE_READY,Brook Crompton Electric motors,"Brook Crompton manufacturer profile covering electric motors, based on official company and product sources.",,,75
felm,FELM,FELM,felm,FELM S.r.l.,CONFIRMED,CURRENT,BRAND_SAFE,felm.it,https://www.felm.it/,Italy,"Inveruno, Milan, Italy",1960,,The source-backed FELM portfolio covers electric motors. The confirmed country record is Italy.,electric motors,IE2 | IE3 | IE4 | IE5 | Large Compact Series,,industrial processing | marine applications,,brand-felm-company | brand-felm-products,2026-08-12,EN_CONTENT_READY,SEO_CORE_READY,FELM Electric motors,"FELM manufacturer profile covering electric motors, based on official company and product sources.",,,85
gorman-rupp,Gorman-Rupp,Gorman-Rupp,gorman-rupp,Gorman Rupp,CONFIRMED,CURRENT,BRAND_SAFE,grpumps.com,https://www.grpumps.com/,United States,"Mansfield, Ohio, United States",1933,,The source-backed Gorman-Rupp portfolio covers pumps and pumping systems. The confirmed country record is United States.,pumps and pumping systems,Super T Series | Prime Aire | ReliaSource | 6400 Series,,water and wastewater | industrial processing | oil and gas | mining,,brand-gorman-rupp-company | brand-gorman-rupp-products,2026-08-12,EN_CONTENT_READY,SEO_CORE_READY,Gorman-Rupp Pumps and pumping systems,"Gorman-Rupp manufacturer profile covering pumps and pumping systems, based on official company and product sources.",,,90
edur,EDUR,EDUR,edur,EDUR-Pumpenfabrik,CONFIRMED,CURRENT,BRAND_SAFE,edur.com,https://www.edur.com/,Germany,"Kiel, Germany",1927,,First-party sources establish EDUR in pumps and pumping systems. Official company information dates its foundation to 1927.,pumps and pumping systems,Compact Line | Performance Line | Multiphase Line | Mag Line,,water and wastewater | building systems | industrial processing | energy | oil and gas,brand-assets/logos/edur.svg,brand-edur-company | brand-edur-products,2026-08-12,EN_CONTENT_READY,SEO_CORE_READY,EDUR Pumps and pumping systems,"EDUR manufacturer profile covering pumps and pumping systems, based on official company and product sources.",,,100
kazel,Kazel,Kazel,kazel,Kazeloglu,CONFIRMED,CURRENT,BRAND_SAFE,kazeloglu.com,https://www.kazeloglu.com/en,Türkiye,"Konya, Türkiye",,,"Kazel publishes official information for pumps and pumping systems and hydraulic equipment. The published range names Gear Pumps, Piston Pumps, Hydraulic Motors, and PTO.",pumps and pumping systems | hydraulic equipment,Gear Pumps | Piston Pumps | Hydraulic Motors | PTO,,transportation,brand-assets/logos/kazel.svg,brand-kazel-company-products,2026-08-17,EN_CONTENT_READY,SEO_CORE_READY,Kazel Pumps and pumping systems,"Kazel manufacturer profile covering pumps and pumping systems and hydraulic equipment, based on official company and product sources.",,,95
sick-ag,SICK,SICK,sick-ag,SICK AG,CONFIRMED,CURRENT,BRAND_SAFE,sick.com,https://www.sick.com/,,,,,"SICK is documented in official material for industrial sensors, encoders and feedback systems, and industrial safety equipment.",industrial sensors | encoders and feedback systems | industrial safety equipment,,,factory automation,brand-assets/logos/sick-ag.svg,brand-sick-portfolio,2026-08-12,EN_CONTENT_READY,SEO_CORE_READY,SICK Industrial sensors,"SICK manufacturer profile covering industrial sensors, encoders and feedback systems, and industrial safety equipment, based on official company and product sources.",,,80
tee-electric-motors,TEE ELECTRIC MOTORS,TEE ELECTRIC MOTORS,tee-electric-motors,,REVIEW_REQUIRED,UNKNOWN,BRAND_REVIEW,,,,,,,,,,,,,,2026-08-17,NOT_READY,NOT_READY,,,BLOCKED_INSUFFICIENT_OFFICIAL_SOURCE,INSUFFICIENT_PRODUCT_SCOPE,0
victor-pumps,Victor Pumps,Victor Pumps,victor-pumps,Victor Pumpen,CONFIRMED,CURRENT,BRAND_SAFE,victorpumps.com,https://www.victorpumps.com/,,,,,"Official Victor Pumps material documents a product scope covering pumps and pumping systems. Documented families and lines include S Series, R Series, S, and R.",pumps and pumping systems,S Series | R Series,S | R,industrial processing | water and wastewater,,brand-victor-pumps-products,2026-08-17,EN_CONTENT_READY,SEO_CORE_READY,Victor Pumps Pumps and pumping systems,"Victor Pumps manufacturer profile covering pumps and pumping systems, based on official company and product sources.",,,75
kuebler,Kübler,Kübler,kuebler,Kuebler | Kubler | KUBLER,CONFIRMED,CURRENT,BRAND_SAFE,kuebler.com,https://www.kuebler.com/,,,1960,,"First-party sources establish Kübler in encoders and feedback systems, measurement and instrumentation, and industrial connectivity. Official company information dates its foundation to 1960.",encoders and feedback systems | measurement and instrumentation | industrial connectivity,,,factory automation | industrial manufacturing,brand-assets/logos/kuebler.svg,brand-kuebler-company,2026-08-12,EN_CONTENT_READY,SEO_CORE_READY,Kübler Encoders and feedback systems,"Kübler manufacturer profile covering encoders and feedback systems, measurement and instrumentation, and industrial connectivity, based on official company and product sources.",,,75
pragati,PRAGATI,PRAGATI,pragati,,REVIEW_REQUIRED,UNKNOWN,BRAND_REVIEW,,,,,,,,,,,,,,2026-08-17,NOT_READY,NOT_READY,,,AMBIGUOUS_IDENTITY,OFFICIAL_SOURCE_NOT_ESTABLISHED,0
vemat-motori,VEMAT Motori,VEMAT Motori,vemat-motori,VEMAT,CONFIRMED,CURRENT,BRAND_SAFE,vemat.it,https://www.vemat.it/,Italy,"Montecchio Maggiore, Vicenza, Italy",,,First-party sources establish VEMAT Motori in electric motors. The confirmed country record is Italy.,electric motors,IE1 | IE2 | IE3 | IE4 | High Starting Torque Motors,,industrial processing,brand-assets/logos/vemat-motori.png,brand-vemat-company | brand-vemat-products,2026-08-17,EN_CONTENT_READY,SEO_CORE_READY,VEMAT Motori Electric motors,"VEMAT Motori manufacturer profile covering electric motors, based on official company and product sources.",,,95
aircom-pneumatic-gmbh,AirCom Pneumatic,AirCom Pneumatic,aircom-pneumatic-gmbh,AirCom,CONFIRMED,CURRENT,BRAND_SAFE,aircom.net,https://www.aircom.net/en/,Germany,"Ratingen, Germany",,,"AirCom Pneumatic is documented in official material for control and regulation equipment, filtration and water systems, and industrial relays. Official product material names Standard Pressure Regulators, Filters, and Service Units.",control and regulation equipment | filtration and water systems | industrial relays,Standard Pressure Regulators | Filters | Service Units,,factory automation | industrial processing,brand-assets/logos/aircom-pneumatic-gmbh.svg,brand-aircom-company | brand-aircom-products,2026-08-17,EN_CONTENT_READY,SEO_CORE_READY,AirCom Pneumatic Control and regulation equipment,"AirCom Pneumatic manufacturer profile covering control and regulation equipment, filtration and water systems, and industrial relays, based on official company and product sources.",,,95
helukabel,HELUKABEL,HELUKABEL,helukabel,,CONFIRMED,CURRENT,BRAND_SAFE,helukabel.com,https://www.helukabel.com/,Germany,,1978,,"HELUKABEL publishes official information for industrial connectivity and drive and motion-control systems. The published range names HELUKAT, HELUCOM, HELUSOUND, and HELUWIND.",industrial connectivity | drive and motion-control systems,HELUKAT | HELUCOM | HELUSOUND | HELUWIND,,factory automation | transportation | energy,brand-assets/logos/helukabel.svg,brand-helukabel-company | brand-helukabel-products,2026-08-12,EN_CONTENT_READY,SEO_CORE_READY,HELUKABEL Industrial connectivity,"HELUKABEL manufacturer profile covering industrial connectivity and drive and motion-control systems, based on official company and product sources.",,,95
oerlikon-leybold-vacuum,Leybold,Leybold,oerlikon-leybold-vacuum,Oerlikon Leybold Vacuum | LEYBOLD VACUUM,CONFIRMED,CURRENT,BRAND_SAFE,leybold.com,https://www.leybold.com/,Germany,,1850,Atlas Copco Group,"Official Leybold material documents a product scope covering pumps and pumping systems, vacuum equipment, and industrial valves and flow control. Documented families and lines include TRIVAC, SOGEVAC, DRYVAC, TURBOVAC, RUVAC, and VACUBE.",pumps and pumping systems | vacuum equipment | industrial valves and flow control,TRIVAC | SOGEVAC | DRYVAC | TURBOVAC | RUVAC | VACUBE,,industrial processing | electronics and semiconductor manufacturing | laboratory and life-science applications,brand-assets/logos/oerlikon-leybold-vacuum.png,brand-leybold-company | brand-leybold-history | brand-leybold-products,2026-08-12,EN_CONTENT_READY,SEO_CORE_READY,Leybold Pumps and pumping systems,"Leybold manufacturer profile covering pumps and pumping systems, vacuum equipment, and industrial valves and flow control, based on official company and product sources.",,,95
macro-sensors,MACRO SENSORS,MACRO SENSORS,macro-sensors,,REVIEW_REQUIRED,UNKNOWN,BRAND_REVIEW,,,,,,,,,,,,,,2026-08-17,NOT_READY,NOT_READY,,,BLOCKED_IDENTITY_SCOPE,NOT_MANUFACTURER_OR_SCOPE_MISMATCH,0
becker,Becker,Becker,becker,Gebr. Becker,CONFIRMED,CURRENT,BRAND_SAFE,becker-international.com,https://www.becker-international.com/de/en/,Germany,"Wuppertal, Germany",1885,,"First-party sources establish Becker in pumps and pumping systems, compressors and compressed-air systems, industrial fans and blowers, and vacuum equipment. Official company information dates its foundation to 1885.",pumps and pumping systems | compressors and compressed-air systems | industrial fans and blowers | vacuum equipment,Vacuum Pumps | Compressors | Side Channel Blowers | Radial Blowers,,industrial processing | packaging | laboratory and life-science applications,brand-assets/logos/becker.svg,brand-becker-company-products,2026-08-17,EN_CONTENT_READY,SEO_CORE_READY,Becker Pumps and pumping systems,"Becker manufacturer profile covering pumps and pumping systems, compressors and compressed-air systems, and industrial fans and blowers, based on official company and product sources.",,,95
hanbell,HANBELL,HANBELL,hanbell,Hanbell Precise Machinery,CONFIRMED,CURRENT,BRAND_SAFE,hanbell.com,https://www.hanbell.com/,,,,,The source-backed HANBELL portfolio covers compressors and compressed-air systems and pumps and pumping systems.,compressors and compressed-air systems | pumps and pumping systems,Refrigeration Compressor | Air Compressor | Centrifugal Compressor | Dry Vacuum Pump,,industrial processing,,brand-hanbell-company | brand-hanbell-vacuum,2026-08-17,EN_CONTENT_READY,SEO_CORE_READY,HANBELL Compressors and compressed-air systems,"HANBELL manufacturer profile covering compressors and compressed-air systems and pumps and pumping systems, based on official company and product sources.",,,75
varisco-pumps,Varisco,VARISCO,varisco-pumps,Varisco Pumps,CONFIRMED,CURRENT,BRAND_SAFE,variscopumps.com,https://www.variscopumps.com/,Italy,"Padua, Italy",1932,,"Official VARISCO material documents a product scope covering pumps and pumping systems. Documented families and lines include J, ST-R, V, SAXMAG, G, LB, VULCAN, and ARGO.",pumps and pumping systems,J | ST-R | V | SAXMAG | G | LB | VULCAN | ARGO,,industrial processing | water and wastewater | oil and gas,,brand-varisco-home | brand-varisco-products,2026-08-17,EN_CONTENT_READY,SEO_CORE_READY,VARISCO Pumps and pumping systems,"VARISCO manufacturer profile covering pumps and pumping systems, based on official company and product sources.",,,90
schmersal,Schmersal,Schmersal,schmersal,Schmersal GmbH | K.A. Schmersal,CONFIRMED,CURRENT,BRAND_SAFE,schmersal.com,https://www.schmersal.com/,Germany,"Wuppertal, Germany",1945,,"Manufacturer-owned sources identify Schmersal with industrial safety equipment, industrial sensors, and industrial automation and control. The confirmed country record is Germany.",industrial safety equipment | industrial sensors | industrial automation and control,,,packaging | industrial manufacturing,brand-assets/logos/schmersal.png,brand-schmersal-company | brand-schmersal-products,2026-08-12,EN_CONTENT_READY,SEO_CORE_READY,Schmersal Industrial safety equipment,"Schmersal manufacturer profile covering industrial safety equipment, industrial sensors, and industrial automation and control, based on official company and product sources.",,,90
datalogic,Datalogic,Datalogic,datalogic,,CONFIRMED,CURRENT,BRAND_SAFE,datalogic.com,https://www.datalogic.com/,,,,,"The source-backed Datalogic portfolio covers RFID and identification systems, industrial sensors, and industrial machinery.",RFID and identification systems | industrial sensors | industrial machinery,,,industrial processing | transportation | laboratory and life-science applications,brand-assets/logos/datalogic.svg,brand-datalogic-company | brand-datalogic-organization,2026-08-12,EN_CONTENT_READY,SEO_CORE_READY,Datalogic RFID and identification systems,"Datalogic manufacturer profile covering RFID and identification systems, industrial sensors, and industrial machinery, based on official company and product sources.",,,75
senstronic,Senstronic,Senstronic,senstronic,,CONFIRMED,CURRENT,BRAND_SAFE,senstronic.com,https://senstronic.com/en/,France,"Monswiller, France",,,The source-backed Senstronic portfolio covers industrial sensors and industrial connectivity. The confirmed country record is France.,industrial sensors | industrial connectivity,Detection | Connectors | Pre-wired Connectors | Accessories,,transportation | rail | factory automation | aerospace,brand-assets/logos/senstronic.svg,brand-senstronic-home | brand-senstronic-connectors,2026-08-17,EN_CONTENT_READY,SEO_CORE_READY,Senstronic Industrial sensors,"Senstronic manufacturer profile covering industrial sensors and industrial connectivity, based on official company and product sources.",,,100
abm-greiffenberger,ABM Greiffenberger,ABM Greiffenberger,abm-greiffenberger,ABM Drives,CONFIRMED,CURRENT,BRAND_SAFE,abm-antriebe.de,https://www.abm-antriebe.de/en/,Germany,,,,"First-party sources establish ABM Greiffenberger in electric motors, drive and motion-control systems, and gear units and geared drives. The confirmed country record is Germany.",electric motors | drive and motion-control systems | gear units and geared drives,AC Induction Motors | Helical Geared Motors | Shaft Mounted Geared Motors | Angular Geared Motors,,industrial manufacturing,brand-assets/logos/abm-greiffenberger.png,brand-abm-products,2026-08-17,EN_CONTENT_READY,SEO_CORE_READY,ABM Greiffenberger Electric motors,"ABM Greiffenberger manufacturer profile covering electric motors, drive and motion-control systems, and gear units and geared drives, based on official company and product sources.",,,90
twk-elektronik,TWK-ELEKTRONIK,TWK-ELEKTRONIK,twk-elektronik,TWK Elektronik | TWK,CONFIRMED,CURRENT,BRAND_SAFE,twk.de,https://www.twk.de/en/,Germany,"Düsseldorf, Germany",,,"TWK-ELEKTRONIK is documented in official material for encoders and feedback systems, industrial sensors, and linear-motion components. Official product material names Rotary Encoders, Inclination Sensors, Linear Transducers, and Draw-wire Transducers.",encoders and feedback systems | industrial sensors | linear-motion components,Rotary Encoders | Inclination Sensors | Linear Transducers | Draw-wire Transducers,,factory automation | energy,brand-assets/logos/twk-elektronik.png,brand-twk-products | brand-twk-brochure,2026-08-17,EN_CONTENT_READY,SEO_CORE_READY,TWK-ELEKTRONIK Encoders and feedback systems,"TWK-ELEKTRONIK manufacturer profile covering encoders and feedback systems, industrial sensors, and linear-motion components, based on official company and product sources.",,,100
kollmorgen,Kollmorgen,Kollmorgen,kollmorgen,,CONFIRMED,CURRENT,BRAND_SAFE,kollmorgen.com,https://www.kollmorgen.com/,,,,,"First-party sources establish Kollmorgen in electric motors, drive and motion-control systems, and robotics and automation components.",electric motors | drive and motion-control systems | robotics and automation components,Servo Motors | Servo Drives | Direct Drive Motors | Automation Platforms,,factory automation | industrial manufacturing,,brand-kollmorgen-company | brand-kollmorgen-products,2026-08-17,EN_CONTENT_READY,SEO_CORE_READY,Kollmorgen Electric motors,"Kollmorgen manufacturer profile covering electric motors, drive and motion-control systems, and robotics and automation components, based on official company and product sources.",,,75
bodine-electric,Bodine Electric,Bodine Electric,bodine-electric,Bodine,CONFIRMED,CURRENT,BRAND_SAFE,bodine-electric.com,https://www.bodine-electric.com/,United States,"Peosta, Iowa, United States",,,"Official Bodine Electric material documents a product scope covering electric motors, gear units and geared drives, and control and regulation equipment. Documented families and lines include AC Motors, PMDC Motors, Brushless DC Motors, Gearmotors, and Speed Controls.",electric motors | gear units and geared drives | control and regulation equipment,AC Motors | PMDC Motors | Brushless DC Motors | Gearmotors | Speed Controls,,factory automation | packaging,brand-assets/logos/bodine-electric.jpg,brand-bodine-company | brand-bodine-catalog,2026-08-17,EN_CONTENT_READY,SEO_CORE_READY,Bodine Electric Electric motors,"Bodine Electric manufacturer profile covering electric motors, gear units and geared drives, and control and regulation equipment, based on official company and product sources.",,,100
thomson,Thomson,Thomson,thomson,Thomson Linear,CONFIRMED,CURRENT,BRAND_SAFE,thomsonlinear.com,https://www.thomsonlinear.com/,,,,,"First-party sources establish Thomson in bearings, linear-motion components, and lifting and crane systems.",bearings | linear-motion components | lifting and crane systems,Linear Bearings | Profile Rail Guides | Ball Screws | Lead Screws | Linear Actuators,,factory automation | industrial manufacturing | laboratory and life-science applications,,brand-thomson-products,2026-08-17,EN_CONTENT_READY,SEO_CORE_READY,Thomson Bearings,"Thomson manufacturer profile covering bearings, linear-motion components, and lifting and crane systems, based on official company and product sources.",,,75
buschjost,Buschjost Magnetventile GmbH & Co. KG,Buschjost,buschjost,BUSCHJOST | BUSCHJOST MAGNETVENTILE,CONFIRMED,CURRENT,BRAND_SAFE,buschjostventile.de,https://www.buschjostventile.de/en/,Germany,"Vlotho-Exter, Germany",1998,GSR Ventiltechnik GmbH & Co. KG,"Buschjost publishes official information for industrial valves and flow control, pneumatic equipment, and industrial automation and control. The published range names Solenoid Valves, Externally Controlled Valves, Ball Valves, Motor Valves, Strainers, and Valve Magnets and Sensors.",industrial valves and flow control | pneumatic equipment | industrial automation and control,Solenoid Valves | Externally Controlled Valves | Ball Valves | Motor Valves | Strainers | Valve Magnets and Sensors,,chemical processing | food and pharmaceutical processing | energy | water and wastewater,brand-assets/logos/buschjost.svg,brand-wave107-buschjost-company | brand-wave107-buschjost-products,2026-08-24,EN_CONTENT_READY,SEO_CORE_READY,Buschjost Industrial valves and flow control,"Buschjost manufacturer profile covering industrial valves and flow control, pneumatic equipment, and industrial automation and control, based on official company and product sources.",,,95
siko-gmbh,SIKO,SIKO,siko-gmbh,SIKO GmbH,CONFIRMED,CURRENT,BRAND_SAFE,siko-global.com,https://www.siko-global.com/en/,Germany,"Buchenbach, Germany",,,"SIKO publishes official information for encoders and feedback systems, industrial sensors, and drive and motion-control systems. The published range names PositionLine, DriveLine, and MagLine.",encoders and feedback systems | industrial sensors | drive and motion-control systems,PositionLine | DriveLine | MagLine,,factory automation | industrial manufacturing,brand-assets/logos/siko-gmbh.jpg,brand-siko-products,2026-08-17,EN_CONTENT_READY,SEO_CORE_READY,SIKO Encoders and feedback systems,"SIKO manufacturer profile covering encoders and feedback systems, industrial sensors, and drive and motion-control systems, based on official company and product sources.",,,95
noval,NOVAL Industriearmaturen,NOVAL,noval,,CONFIRMED,CURRENT,BRAND_SAFE,noval.de,https://noval.de/en/,Germany,,,,First-party sources establish NOVAL in industrial valves and flow control. The confirmed country record is Germany.,industrial valves and flow control,Shut-off Valves | Control Valves | Knife Gate Valves,,industrial processing | water and wastewater | chemical processing,brand-assets/logos/noval.svg,brand-noval-products,2026-08-17,EN_CONTENT_READY,SEO_CORE_READY,NOVAL Industrial valves and flow control,"NOVAL manufacturer profile covering industrial valves and flow control, based on official company and product sources.",,,90
pioneer-pump,Pioneer Pump,Pioneer Pump,pioneer-pump,,CONFIRMED,CURRENT,BRAND_SAFE,pioneerpump.com,https://www.pioneerpump.com/,,,,,"Pioneer Pump publishes official information for pumps and pumping systems. The published range names Surface Pumps, Submersible Pumps, and Pump Packages.",pumps and pumping systems,Surface Pumps | Submersible Pumps | Pump Packages,,water and wastewater | industrial processing | mining,,brand-pioneer-company | brand-pioneer-products,2026-08-17,EN_CONTENT_READY,SEO_CORE_READY,Pioneer Pump Pumps and pumping systems,"Pioneer Pump manufacturer profile covering pumps and pumping systems, based on official company and product sources.",,,75
lutz-pumpen-gmbh,Lutz Pumpen,Lutz Pumpen,lutz-pumpen-gmbh,Lutz Pumps,CONFIRMED,CURRENT,BRAND_SAFE,lutzpumps.com,https://www.lutzpumps.com/,Germany,"Wertheim, Germany",1954,Lutz Holding,The source-backed Lutz Pumpen portfolio covers pumps and pumping systems and measurement and instrumentation. Its documented corporate parent is Lutz Holding.,pumps and pumping systems | measurement and instrumentation,Drum Pumps | Eccentric Screw Pumps | Centrifugal Pumps | Diaphragm Pumps | Flow Meters,,chemical processing | food and pharmaceutical processing | water and wastewater | industrial processing,,brand-lutz-group | brand-lutz-products,2026-08-17,EN_CONTENT_READY,SEO_CORE_READY,Lutz Pumpen Pumps and pumping systems,"Lutz Pumpen manufacturer profile covering pumps and pumping systems and measurement and instrumentation, based on official company and product sources.",,,85
argo-hytos,ARGO-HYTOS,ARGO-HYTOS,argo-hytos,ARGO HYTOS,CONFIRMED,CURRENT,BRAND_SAFE,argo-hytos.com,https://www.argo-hytos.com/,,,,,"ARGO-HYTOS is documented in official material for hydraulic equipment and industrial sensors. Official product material names Valves, Filtration, Hydraulic Power Units, and Fluid Management.",hydraulic equipment | industrial sensors,Valves | Filtration | Hydraulic Power Units | Fluid Management,,industrial processing,brand-assets/logos/argo-hytos.svg,brand-argo-hytos-products | brand-argo-hytos-filtration,2026-08-17,EN_CONTENT_READY,SEO_CORE_READY,ARGO-HYTOS Hydraulic equipment,"ARGO-HYTOS manufacturer profile covering hydraulic equipment and industrial sensors, based on official company and product sources.",,,85
